request_type,headers,payload_size,response_time,ip_reputation,url,user_agent,anomaly_score,label
GET,User-Agent: Mozilla/5.0; Accept: application/json; X-Forwarded-For: 192.168.99.103; Content-Type: application/x-www-form-urlencoded,741.5400956652709,119.0057124815593,67.6344749525507,/index?q=x,Chrome/124.0,0.06067578499491011,normal
POST,User-Agent: python-requests/2.31; Accept: application/json; X-Forwarded-For: 192.168.254.169; Content-Type: application/x-www-form-urlencoded,307.02433377167773,136.1778526004396,26.87705418717418,/api/data?q=cguirdynizb,Chrome/124.0,0.65,brute_force
DELETE,User-Agent: curl/8.5.0; Accept: application/json; X-Forwarded-For: 192.168.253.133; Content-Type: text/html,494.7907436820794,76.81647658126603,90.56362280257973,/search?q=2rz,Chrome/124.0,0.016873452504346687,normal
POST,User-Agent: Mozilla/5.0; Accept: application/json; X-Forwarded-For: 192.168.207.236; Content-Type: text/html,512.9195606849413,254.5461586188669,84.11160596387839,/index?q=zy2oayg,Mozilla/5.0,0.7038251002122022,brute_force
DELETE,User-Agent: Chrome/124.0; Accept: application/json; X-Forwarded-For: 192.168.134.200; Content-Type: text/html; X-XSS-Test: <img src=x onerror=alert(1)>,789.1456528204919,89.85079605788866,75.28967530815041,/login?q=wx8v08<script>alert('x')</script>,Mozilla/5.0,0.7895566969268613,xss
PUT,User-Agent: python-requests/2.31; Accept: application/json; X-Forwarded-For: 192.168.89.41; Content-Type: application/json,979.4202146594495,350.30568920946206,100.0,/api/data?q=55d3wo29m5gv1b,curl/8.5.0,0.06194137923989365,normal
GET,User-Agent: python-requests/2.31; Accept: application/json; X-Forwarded-For: 192.168.91.216; Content-Type: application/x-www-form-urlencoded,552.398348513142,153.90734334825672,61.39798646721704,/login?q=,Mozilla/5.0,0.8126178828384132,ddos
GET,User-Agent: python-requests/2.31; Accept: application/json; X-Forwarded-For: 192.168.233.171; Content-Type: application/x-www-form-urlencoded; X-SQL-Test: ' OR '1'='1,873.1507280081854,243.22975087168356,34.615731448739645,/api/data?q=55xlb' OR '1'='1,python-requests/2.31,0.75,sql_injection
GET,User-Agent: Mozilla/5.0; Accept: application/json; X-Forwarded-For: 192.168.171.217; Content-Type: text/html,475.4786450861867,258.33159255767106,100.0,/admin?q=kqxe7f,curl/8.5.0,0.3598690562823956,normal
DELETE,User-Agent: Chrome/124.0; Accept: application/json; X-Forwarded-For: 192.168.146.89; Content-Type: application/x-www-form-urlencoded,347.3635362025623,264.503102849511,59.588590911215626,/api/data?q=5g6,Chrome/124.0,0.32862548773821687,normal
